Category,Cause,Site,Month,Year,Severity,Status,Count
Equipment,Management,Shirley,Jan,2007,Near Miss,Closed,14
Equipment,Design,Shirley,Jan,2007,Medium,Closed,9
Security,Procedure,Shirley,Jan,2007,Critical,Closed,11
Security,Design,Shirley,Jan,2007,Near Miss,Open,7
Divergence,Training,Shirley,Jan,2007,Medium,Open,4
Divergence,Personnel,Shirley,Jan,2007,Medium,Open,11
Complaint,Design,Shirley,Jan,2007,Medium,Closed,10
Complaint,Training,Shirley,Jan,2007,Near Miss,Open,4
Customer,Training,Lincoln,Jan,2007,Major,Open,6
Customer,Design,Lincoln,Jan,2007,Near Miss,Open,8
Spill,Material,Lincoln,Jan,2007,Medium,Closed,8
Spill,Training,Lincoln,Jan,2007,Major,Closed,8
Injury,Personnel,Lincoln,Jan,2007,Medium,Closed,7
Injury,Management,Lincoln,Jan,2007,Critical,Open,5
Transport,Material,Lincoln,Jan,2007,Major,Closed,8
Transport,Procedure,Lincoln,Jan,2007,Critical,Closed,6
Equipment,Procedure,Lincoln,Jan,2007,Medium,Open,6
Equipment,Training,Lincoln,Jan,2007,Critical,Open,10
Security,Equipment,Lincoln,Jan,2007,Medium,Closed,8
Security,Procedure,Lincoln,Jan,2007,Near Miss,Closed,9
Divergence,Material,Lincoln,Jan,2007,Major,Open,9
Divergence,Procedure,Lincoln,Jan,2007,Major,Closed,9
Complaint,External,Lincoln,Jan,2007,Medium,Closed,10
Complaint,Material,Lincoln,Jan,2007,Major,Closed,8
Customer,Training,Maynard,Jan,2007,Critical,Closed,10
Customer,Management,Maynard,Jan,2007,Critical,Open,10
Spill,Training,Maynard,Jan,2007,Near Miss,Closed,10
Spill,Management,Maynard,Jan,2007,Medium,Closed,6
Injury,Training,Maynard,Jan,2007,Major,Closed,8
Injury,Management,Maynard,Jan,2007,Major,Closed,12
Transport,Material,Maynard,Jan,2007,Near Miss,Closed,9
Transport,Management,Maynard,Jan,2007,Medium,Closed,10
Equipment,Material,Maynard,Jan,2007,Near Miss,Open,8
Equipment,Equipment,Maynard,Jan,2007,Medium,Open,10
Security,Personnel,Maynard,Jan,2007,Major,Open,10
Security,Equipment,Maynard,Jan,2007,Major,Open,7
Divergence,Material,Maynard,Jan,2007,Major,Open,10
Divergence,Management,Maynard,Jan,2007,Near Miss,Closed,10
Complaint,Training,Maynard,Jan,2007,Critical,Open,12
Complaint,Personnel,Maynard,Jan,2007,Major,Closed,7
Customer,Material,Acton,Jan,2007,Medium,Closed,13
Customer,Training,Acton,Jan,2007,Critical,Closed,5
Spill,External,Acton,Jan,2007,Medium,Open,2
Spill,Material,Acton,Jan,2007,Near Miss,Closed,9
Injury,Equipment,Acton,Jan,2007,Major,Open,9
Injury,Design,Acton,Jan,2007,Major,Closed,8
Transport,Training,Acton,Jan,2007,Critical,Closed,12
Transport,External,Acton,Jan,2007,Near Miss,Closed,10
Equipment,Equipment,Acton,Jan,2007,Major,Closed,11
Equipment,Management,Acton,Jan,2007,Near Miss,Closed,12
Security,Management,Acton,Jan,2007,Medium,Open,6
Security,Training,Acton,Jan,2007,Near Miss,Open,10
Divergence,Material,Acton,Jan,2007,Critical,Closed,8
Divergence,Management,Acton,Jan,2007,Near Miss,Closed,2
Complaint,Material,Acton,Jan,2007,Major,Closed,9
Complaint,Training,Acton,Jan,2007,Medium,Closed,10
Customer,Equipment,Concord,Jan,2007,Near Miss,Closed,9
Customer,Personnel,Concord,Jan,2007,Near Miss,Closed,2
Spill,Design,Concord,Jan,2007,Near Miss,Closed,6
Spill,Procedure,Concord,Jan,2007,Major,Closed,12
Injury,Management,Concord,Jan,2007,Near Miss,Closed,6
Injury,Design,Concord,Jan,2007,Major,Closed,7
Transport,Personnel,Concord,Jan,2007,Major,Closed,8
Transport,Design,Concord,Jan,2007,Major,Open,6
Equipment,Material,Concord,Jan,2007,Major,Closed,6
Equipment,External,Concord,Jan,2007,Medium,Open,10
Security,Design,Concord,Jan,2007,Major,Closed,11
Security,Material,Concord,Jan,2007,Major,Closed,9
Divergence,Management,Concord,Jan,2007,Critical,Closed,6
Divergence,External,Concord,Jan,2007,Major,Closed,9
Complaint,Procedure,Concord,Jan,2007,Major,Open,5
Complaint,Equipment,Concord,Jan,2007,Medium,Open,5
Customer,External,Hudson,Jan,2007,Critical,Closed,6
Customer,Training,Hudson,Jan,2007,Major,Open,12
Spill,Management,Hudson,Jan,2007,Near Miss,Closed,7
Spill,Procedure,Hudson,Jan,2007,Critical,Closed,11
Injury,Procedure,Hudson,Jan,2007,Near Miss,Closed,6
Injury,Training,Hudson,Jan,2007,Medium,Closed,8
Transport,External,Hudson,Jan,2007,Near Miss,Closed,10
Transport,Material,Hudson,Jan,2007,Critical,Closed,7
Equipment,Design,Hudson,Jan,2007,Major,Open,7
Equipment,Management,Hudson,Jan,2007,Near Miss,Closed,5
Security,Design,Hudson,Jan,2007,Medium,Closed,10
Security,Equipment,Hudson,Jan,2007,Near Miss,Open,7
Divergence,External,Hudson,Jan,2007,Critical,Open,7
Divergence,Equipment,Hudson,Jan,2007,Near Miss,Open,5
Complaint,Procedure,Hudson,Jan,2007,Major,Closed,5
Complaint,External,Hudson,Jan,2007,Major,Closed,5
Customer,Equipment,Weston,Feb,2007,Near Miss,Closed,8
Customer,Training,Weston,Feb,2007,Near Miss,Closed,11
Spill,Design,Weston,Feb,2007,Major,Open,7
Spill,Personnel,Weston,Feb,2007,Major,Closed,14
Injury,Personnel,Weston,Feb,2007,Medium,Closed,12
Injury,Training,Weston,Feb,2007,Critical,Open,6
Transport,Personnel,Weston,Feb,2007,Near Miss,Open,6
Transport,Management,Weston,Feb,2007,Medium,Closed,6
Equipment,External,Weston,Feb,2007,Critical,Open,10
Equipment,Procedure,Weston,Feb,2007,Medium,Closed,4
Security,Personnel,Weston,Feb,2007,Critical,Closed,4
Security,Material,Weston,Feb,2007,Critical,Open,8
Divergence,Design,Weston,Feb,2007,Major,Closed,9
Divergence,Personnel,Weston,Feb,2007,Medium,Closed,9
Complaint,Training,Weston,Feb,2007,Medium,Open,9
Complaint,Procedure,Weston,Feb,2007,Major,Closed,6
Customer,Training,Bolton,Feb,2007,Major,Open,9
Customer,Management,Bolton,Feb,2007,Near Miss,Closed,9
Spill,Procedure,Bolton,Feb,2007,Major,Closed,14
Spill,External,Bolton,Feb,2007,Major,Open,9
Injury,Personnel,Bolton,Feb,2007,Critical,Open,5
Injury,Procedure,Bolton,Feb,2007,Near Miss,Closed,12
Transport,External,Bolton,Feb,2007,Medium,Closed,7
Transport,Equipment,Bolton,Feb,2007,Major,Closed,5
Equipment,Material,Bolton,Feb,2007,Critical,Closed,9
Equipment,External,Bolton,Feb,2007,Critical,Closed,8
Security,Procedure,Bolton,Feb,2007,Near Miss,Open,12
Security,Personnel,Bolton,Feb,2007,Medium,Open,11
Divergence,Design,Bolton,Feb,2007,Medium,Closed,9
Divergence,Material,Bolton,Feb,2007,Near Miss,Open,7
Complaint,Personnel,Bolton,Feb,2007,Major,Closed,5
Complaint,Procedure,Bolton,Feb,2007,Near Miss,Closed,10
Customer,Procedure,Shirley,Feb,2007,Critical,Open,10
Customer,External,Shirley,Feb,2007,Major,Open,10
Spill,Material,Shirley,Feb,2007,Medium,Closed,6
Spill,Equipment,Shirley,Feb,2007,Critical,Closed,8
Injury,Management,Shirley,Feb,2007,Near Miss,Closed,5
Injury,Equipment,Shirley,Feb,2007,Near Miss,Closed,13
Transport,Procedure,Shirley,Feb,2007,Near Miss,Closed,9
Transport,External,Shirley,Feb,2007,Near Miss,Closed,4
Equipment,Design,Shirley,Feb,2007,Medium,Open,12
Equipment,Personnel,Shirley,Feb,2007,Critical,Open,10
Security,Management,Shirley,Feb,2007,Major,Closed,7
Security,Procedure,Shirley,Feb,2007,Near Miss,Closed,7
Divergence,Personnel,Shirley,Feb,2007,Medium,Open,8
Complaint,Training,Shirley,Feb,2007,Medium,Closed,8
Complaint,Management,Shirley,Feb,2007,Major,Open,4
Customer,Training,Lincoln,Feb,2007,Major,Closed,10
Customer,Procedure,Lincoln,Feb,2007,Medium,Closed,6
Spill,External,Lincoln,Feb,2007,Near Miss,Closed,12
Spill,Personnel,Lincoln,Feb,2007,Medium,Open,10
Injury,Material,Lincoln,Feb,2007,Major,Closed,7
Injury,Personnel,Lincoln,Feb,2007,Major,Open,7
Transport,Design,Lincoln,Feb,2007,Critical,Closed,11
Transport,Procedure,Lincoln,Feb,2007,Near Miss,Closed,5
Equipment,Personnel,Lincoln,Feb,2007,Near Miss,Closed,6
Equipment,Design,Lincoln,Feb,2007,Medium,Closed,8
Security,Management,Lincoln,Feb,2007,Major,Closed,11
Security,Equipment,Lincoln,Feb,2007,Major,Closed,13
Divergence,Equipment,Lincoln,Feb,2007,Medium,Closed,7
Divergence,Personnel,Lincoln,Feb,2007,Medium,Closed,6
Complaint,Design,Lincoln,Feb,2007,Critical,Open,7
Complaint,Procedure,Lincoln,Feb,2007,Major,Closed,12
Customer,Procedure,Maynard,Feb,2007,Critical,Closed,6
Customer,Design,Maynard,Feb,2007,Major,Closed,8
Spill,External,Maynard,Feb,2007,Near Miss,Closed,5
Spill,Equipment,Maynard,Feb,2007,Near Miss,Closed,6
Injury,Design,Maynard,Feb,2007,Medium,Closed,11
Injury,External,Maynard,Feb,2007,Medium,Closed,8
Transport,Training,Maynard,Feb,2007,Medium,Open,11
Transport,External,Maynard,Feb,2007,Medium,Open,6
Equipment,Procedure,Maynard,Feb,2007,Critical,Closed,8
Equipment,Equipment,Maynard,Feb,2007,Major,Open,5
Security,Management,Maynard,Feb,2007,Major,Closed,4
Security,Equipment,Maynard,Feb,2007,Near Miss,Closed,4
Divergence,Design,Maynard,Feb,2007,Critical,Closed,8
Divergence,Training,Maynard,Feb,2007,Near Miss,Closed,8
Complaint,Design,Maynard,Feb,2007,Medium,Open,9
Complaint,Material,Maynard,Feb,2007,Near Miss,Closed,8
Customer,Management,Acton,Feb,2007,Medium,Closed,4
Customer,Procedure,Acton,Feb,2007,Critical,Closed,9
Spill,Management,Acton,Feb,2007,Major,Closed,4
Spill,Procedure,Acton,Feb,2007,Near Miss,Closed,8
Injury,Material,Acton,Feb,2007,Near Miss,Closed,6
Injury,Management,Acton,Feb,2007,Major,Closed,7
Transport,Management,Acton,Feb,2007,Near Miss,Closed,6
Transport,Personnel,Acton,Feb,2007,Near Miss,Closed,4
Equipment,Training,Acton,Feb,2007,Medium,Closed,2
Equipment,Procedure,Acton,Feb,2007,Near Miss,Closed,12
Security,Material,Acton,Feb,2007,Critical,Open,13
Security,Design,Acton,Feb,2007,Near Miss,Closed,8
Divergence,Equipment,Acton,Feb,2007,Near Miss,Open,8
Divergence,Design,Acton,Feb,2007,Major,Open,11
Complaint,Management,Acton,Feb,2007,Near Miss,Open,13
Complaint,Material,Acton,Feb,2007,Near Miss,Closed,13
Customer,Equipment,Concord,Feb,2007,Critical,Closed,3
Customer,Management,Concord,Feb,2007,Medium,Closed,11
Spill,External,Concord,Feb,2007,Critical,Open,5
Spill,Equipment,Concord,Feb,2007,Critical,Open,9
Injury,Training,Concord,Feb,2007,Medium,Closed,7
Injury,Design,Concord,Feb,2007,Near Miss,Open,7
Transport,External,Concord,Feb,2007,Near Miss,Open,8
Transport,Personnel,Concord,Feb,2007,Medium,Closed,2
Equipment,Management,Concord,Feb,2007,Near Miss,Closed,12
Equipment,Material,Concord,Feb,2007,Critical,Open,6
Security,Equipment,Concord,Feb,2007,Medium,Closed,13
Security,Training,Concord,Feb,2007,Medium,Open,5
Divergence,Training,Concord,Feb,2007,Medium,Closed,6
Divergence,Procedure,Concord,Feb,2007,Major,Closed,9
Complaint,Procedure,Concord,Feb,2007,Major,Closed,11
Complaint,Material,Concord,Feb,2007,Near Miss,Open,8
Customer,Management,Hudson,Feb,2007,Major,Closed,9
Customer,Personnel,Hudson,Feb,2007,Critical,Closed,6
Spill,Equipment,Hudson,Feb,2007,Critical,Open,8
Spill,Design,Hudson,Feb,2007,Medium,Open,7
Injury,Training,Hudson,Feb,2007,Near Miss,Closed,10
Injury,Management,Hudson,Feb,2007,Major,Closed,9
Transport,Design,Hudson,Feb,2007,Major,Closed,12
Transport,Management,Hudson,Feb,2007,Medium,Open,5
Equipment,Material,Hudson,Feb,2007,Major,Closed,10
Equipment,Training,Hudson,Feb,2007,Medium,Closed,10
Security,Material,Hudson,Feb,2007,Near Miss,Closed,6
Security,Personnel,Hudson,Feb,2007,Near Miss,Closed,4
Divergence,Personnel,Hudson,Feb,2007,Major,Open,10
Divergence,Management,Hudson,Feb,2007,Major,Closed,12
Complaint,Personnel,Hudson,Feb,2007,Critical,Closed,10
Complaint,Procedure,Hudson,Feb,2007,Medium,Closed,11
Customer,Management,Weston,Mar,2007,Medium,Open,10
Customer,Equipment,Weston,Mar,2007,Critical,Open,8
Spill,Design,Weston,Mar,2007,Medium,Open,4
Spill,Training,Weston,Mar,2007,Critical,Closed,11
Injury,Training,Weston,Mar,2007,Critical,Closed,3
Injury,Material,Weston,Mar,2007,Near Miss,Open,7
Transport,Personnel,Weston,Mar,2007,Major,Closed,6
Transport,Design,Weston,Mar,2007,Major,Closed,8
Equipment,Design,Weston,Mar,2007,Medium,Closed,6
Equipment,Management,Weston,Mar,2007,Major,Closed,11
Security,Equipment,Weston,Mar,2007,Near Miss,Closed,12
Security,External,Weston,Mar,2007,Major,Open,9
Divergence,Design,Weston,Mar,2007,Near Miss,Open,5
Divergence,Equipment,Weston,Mar,2007,Major,Closed,11
Complaint,External,Weston,Mar,2007,Medium,Closed,4
Complaint,Procedure,Weston,Mar,2007,Medium,Closed,3
Customer,Management,Bolton,Mar,2007,Near Miss,Closed,15
Customer,Training,Bolton,Mar,2007,Medium,Closed,13
Spill,Management,Bolton,Mar,2007,Medium,Closed,7
Spill,Personnel,Bolton,Mar,2007,Major,Closed,13
Injury,Equipment,Bolton,Mar,2007,Major,Open,12
Injury,Procedure,Bolton,Mar,2007,Major,Closed,11
Transport,Material,Bolton,Mar,2007,Major,Open,7
Transport,External,Bolton,Mar,2007,Near Miss,Open,5
Equipment,Material,Bolton,Mar,2007,Near Miss,Open,9
Equipment,Equipment,Bolton,Mar,2007,Near Miss,Closed,6
Security,Design,Bolton,Mar,2007,Near Miss,Closed,13
Security,Training,Bolton,Mar,2007,Medium,Closed,15
Divergence,Material,Bolton,Mar,2007,Medium,Open,9
Divergence,Personnel,Bolton,Mar,2007,Critical,Closed,6
Complaint,Personnel,Bolton,Mar,2007,Major,Open,6
Complaint,Procedure,Bolton,Mar,2007,Medium,Open,8
Customer,Design,Shirley,Mar,2007,Major,Closed,4
Customer,External,Shirley,Mar,2007,Near Miss,Closed,11
Spill,Personnel,Shirley,Mar,2007,Near Miss,Closed,10
Spill,Procedure,Shirley,Mar,2007,Critical,Closed,6
Injury,Management,Shirley,Mar,2007,Near Miss,Closed,8
Injury,External,Shirley,Mar,2007,Critical,Closed,6
Transport,Equipment,Shirley,Mar,2007,Medium,Open,8
Transport,Design,Shirley,Mar,2007,Major,Closed,8
Equipment,Material,Shirley,Mar,2007,Medium,Open,9
Equipment,External,Shirley,Mar,2007,Critical,Closed,7
Security,Management,Shirley,Mar,2007,Medium,Closed,7
Security,External,Shirley,Mar,2007,Critical,Open,9
Divergence,Material,Shirley,Mar,2007,Critical,Open,5
Divergence,Personnel,Shirley,Mar,2007,Medium,Open,10
Complaint,Design,Shirley,Mar,2007,Critical,Closed,9
Complaint,Management,Shirley,Mar,2007,Near Miss,Open,7
Customer,Design,Lincoln,Mar,2007,Medium,Closed,7
Customer,Management,Lincoln,Mar,2007,Near Miss,Open,10
Spill,Management,Lincoln,Mar,2007,Near Miss,Closed,14
Spill,Equipment,Lincoln,Mar,2007,Critical,Closed,6
Injury,Material,Lincoln,Mar,2007,Major,Closed,5
Injury,Training,Lincoln,Mar,2007,Critical,Closed,7
Transport,Training,Lincoln,Mar,2007,Near Miss,Open,6
Transport,Material,Lincoln,Mar,2007,Near Miss,Closed,6
Equipment,Management,Lincoln,Mar,2007,Near Miss,Open,5
Equipment,Training,Lincoln,Mar,2007,Near Miss,Open,4
Security,External,Lincoln,Mar,2007,Near Miss,Closed,4
Security,Material,Lincoln,Mar,2007,Major,Open,9
Divergence,Design,Lincoln,Mar,2007,Medium,Closed,4
Divergence,Material,Lincoln,Mar,2007,Critical,Closed,9
Complaint,Design,Lincoln,Mar,2007,Medium,Closed,8
Complaint,Material,Lincoln,Mar,2007,Medium,Closed,4
Customer,Personnel,Maynard,Mar,2007,Major,Open,9
Customer,Equipment,Maynard,Mar,2007,Medium,Closed,10
Spill,Personnel,Maynard,Mar,2007,Near Miss,Closed,7
Spill,Equipment,Maynard,Mar,2007,Medium,Closed,10
Injury,Design,Maynard,Mar,2007,Critical,Closed,7
Injury,Training,Maynard,Mar,2007,Near Miss,Closed,12
Transport,Material,Maynard,Mar,2007,Near Miss,Closed,13
Transport,Design,Maynard,Mar,2007,Critical,Closed,7
Equipment,Design,Maynard,Mar,2007,Near Miss,Closed,5
Equipment,External,Maynard,Mar,2007,Medium,Closed,12
Security,External,Maynard,Mar,2007,Medium,Closed,6
Security,Procedure,Maynard,Mar,2007,Critical,Closed,8
Divergence,Personnel,Maynard,Mar,2007,Major,Open,10
Divergence,External,Maynard,Mar,2007,Medium,Closed,3
Complaint,Management,Maynard,Mar,2007,Medium,Open,12
Complaint,Material,Maynard,Mar,2007,Major,Closed,16
Customer,Personnel,Acton,Mar,2007,Medium,Open,4
Customer,Training,Acton,Mar,2007,Near Miss,Closed,7
Spill,Training,Acton,Mar,2007,Major,Closed,7
Spill,Design,Acton,Mar,2007,Medium,Closed,3
Injury,Equipment,Acton,Mar,2007,Medium,Closed,9
Injury,Material,Acton,Mar,2007,Critical,Closed,10
Transport,Management,Acton,Mar,2007,Major,Closed,8
Transport,Equipment,Acton,Mar,2007,Major,Closed,3
Equipment,Personnel,Acton,Mar,2007,Critical,Closed,5
Equipment,Management,Acton,Mar,2007,Major,Closed,11
Security,Material,Acton,Mar,2007,Medium,Closed,4
Security,External,Acton,Mar,2007,Medium,Closed,7
Divergence,External,Acton,Mar,2007,Major,Closed,2
Divergence,Procedure,Acton,Mar,2007,Critical,Closed,12
Complaint,Training,Acton,Mar,2007,Critical,Open,6
Complaint,Personnel,Acton,Mar,2007,Near Miss,Open,7
Customer,Design,Concord,Mar,2007,Major,Closed,8
Customer,External,Concord,Mar,2007,Major,Closed,6
Spill,Procedure,Concord,Mar,2007,Medium,Closed,9
Spill,Material,Concord,Mar,2007,Near Miss,Closed,9
Injury,Training,Concord,Mar,2007,Medium,Open,6
Injury,Material,Concord,Mar,2007,Major,Open,8
Transport,Design,Concord,Mar,2007,Critical,Closed,5
Transport,Procedure,Concord,Mar,2007,Medium,Open,8
Equipment,Equipment,Concord,Mar,2007,Medium,Closed,7
Equipment,Personnel,Concord,Mar,2007,Critical,Closed,5
Security,Management,Concord,Mar,2007,Medium,Open,8
Security,Design,Concord,Mar,2007,Major,Closed,4
Divergence,Training,Concord,Mar,2007,Medium,Closed,5
Divergence,Personnel,Concord,Mar,2007,Medium,Closed,11
Complaint,Training,Concord,Mar,2007,Major,Closed,5
Complaint,Equipment,Concord,Mar,2007,Major,Open,10
Customer,Material,Hudson,Mar,2007,Critical,Closed,11
Customer,Management,Hudson,Mar,2007,Major,Open,3
Spill,Material,Hudson,Mar,2007,Near Miss,Closed,8
Spill,Procedure,Hudson,Mar,2007,Medium,Closed,7
Injury,Management,Hudson,Mar,2007,Near Miss,Closed,9
Injury,Procedure,Hudson,Mar,2007,Major,Open,9
Transport,Equipment,Hudson,Mar,2007,Medium,Closed,9
Transport,Design,Hudson,Mar,2007,Major,Closed,9
Equipment,External,Hudson,Mar,2007,Critical,Closed,5
Equipment,Personnel,Hudson,Mar,2007,Near Miss,Closed,10
Security,External,Hudson,Mar,2007,Near Miss,Closed,3
Security,Management,Hudson,Mar,2007,Critical,Open,9
Divergence,Design,Hudson,Mar,2007,Near Miss,Closed,6
Divergence,Training,Hudson,Mar,2007,Near Miss,Closed,1
Complaint,Management,Hudson,Mar,2007,Major,Closed,15
Complaint,Procedure,Hudson,Mar,2007,Major,Open,8
Customer,Management,Weston,Apr,2007,Critical,Closed,15
Customer,External,Weston,Apr,2007,Major,Open,7
Spill,External,Weston,Apr,2007,Medium,Closed,18
Spill,Procedure,Weston,Apr,2007,Major,Closed,6
Injury,Management,Weston,Apr,2007,Major,Closed,6
Injury,Procedure,Weston,Apr,2007,Major,Closed,4
Transport,Procedure,Weston,Apr,2007,Major,Closed,8
Transport,Design,Weston,Apr,2007,Critical,Closed,10
Equipment,Procedure,Weston,Apr,2007,Near Miss,Open,14
Equipment,External,Weston,Apr,2007,Medium,Closed,7
Security,Personnel,Weston,Apr,2007,Major,Closed,11
Security,Material,Weston,Apr,2007,Critical,Closed,5
Divergence,External,Weston,Apr,2007,Near Miss,Closed,9
Divergence,Design,Weston,Apr,2007,Near Miss,Closed,7
Complaint,Material,Weston,Apr,2007,Critical,Closed,5
Complaint,Procedure,Weston,Apr,2007,Medium,Closed,8
Customer,Training,Bolton,Apr,2007,Major,Open,13
Customer,Procedure,Bolton,Apr,2007,Critical,Closed,9
Spill,Management,Bolton,Apr,2007,Major,Closed,5
Spill,Design,Bolton,Apr,2007,Medium,Open,7
Injury,Management,Bolton,Apr,2007,Near Miss,Closed,10
Injury,Material,Bolton,Apr,2007,Critical,Open,7
Transport,Equipment,Bolton,Apr,2007,Critical,Closed,9
Transport,External,Bolton,Apr,2007,Near Miss,Open,5
Equipment,External,Bolton,Apr,2007,Critical,Closed,11
Equipment,Material,Bolton,Apr,2007,Critical,Closed,8
Security,Equipment,Bolton,Apr,2007,Near Miss,Open,9
Security,Personnel,Bolton,Apr,2007,Major,Closed,11
Divergence,Equipment,Bolton,Apr,2007,Critical,Closed,7
Divergence,Personnel,Bolton,Apr,2007,Near Miss,Closed,8
Complaint,Training,Bolton,Apr,2007,Medium,Closed,5
Complaint,Design,Bolton,Apr,2007,Major,Open,7
Customer,External,Shirley,Apr,2007,Medium,Closed,12
Customer,Management,Shirley,Apr,2007,Critical,Open,9
Spill,Personnel,Shirley,Apr,2007,Medium,Closed,6
Spill,Design,Shirley,Apr,2007,Near Miss,Closed,4
Injury,External,Shirley,Apr,2007,Near Miss,Open,5
Injury,Material,Shirley,Apr,2007,Major,Closed,4
Transport,Training,Shirley,Apr,2007,Major,Open,8
Transport,Procedure,Shirley,Apr,2007,Critical,Closed,6
Equipment,Procedure,Shirley,Apr,2007,Major,Open,6
Equipment,Training,Shirley,Apr,2007,Critical,Closed,4
Security,Personnel,Shirley,Apr,2007,Major,Closed,12
Security,External,Shirley,Apr,2007,Medium,Open,6
Divergence,Procedure,Shirley,Apr,2007,Major,Closed,6
Divergence,External,Shirley,Apr,2007,Medium,Closed,10
Complaint,Training,Shirley,Apr,2007,Medium,Closed,9
Complaint,Management,Shirley,Apr,2007,Critical,Open,5
Customer,Material,Lincoln,Apr,2007,Major,Closed,8
Customer,Equipment,Lincoln,Apr,2007,Major,Closed,9
Spill,Design,Lincoln,Apr,2007,Near Miss,Open,10
Spill,Equipment,Lincoln,Apr,2007,Major,Closed,4
Injury,Procedure,Lincoln,Apr,2007,Major,Open,11
Injury,Personnel,Lincoln,Apr,2007,Critical,Closed,5
Transport,Training,Lincoln,Apr,2007,Near Miss,Closed,6
Transport,Material,Lincoln,Apr,2007,Near Miss,Closed,10
Equipment,Design,Lincoln,Apr,2007,Major,Closed,4
Equipment,Procedure,Lincoln,Apr,2007,Major,Open,8
Security,External,Lincoln,Apr,2007,Near Miss,Closed,9
Security,Procedure,Lincoln,Apr,2007,Near Miss,Open,8
Divergence,Personnel,Lincoln,Apr,2007,Major,Closed,9
Divergence,Training,Lincoln,Apr,2007,Medium,Open,10
Complaint,Training,Lincoln,Apr,2007,Critical,Closed,5
Complaint,External,Lincoln,Apr,2007,Near Miss,Closed,11
Customer,Material,Maynard,Apr,2007,Medium,Open,14
Customer,Procedure,Maynard,Apr,2007,Major,Open,6
Spill,Procedure,Maynard,Apr,2007,Critical,Closed,8
Spill,Equipment,Maynard,Apr,2007,Critical,Closed,11
Injury,Equipment,Maynard,Apr,2007,Medium,Open,8
Injury,Procedure,Maynard,Apr,2007,Critical,Open,8
Transport,Training,Maynard,Apr,2007,Medium,Closed,9
Transport,External,Maynard,Apr,2007,Critical,Closed,4
Equipment,External,Maynard,Apr,2007,Near Miss,Closed,7
Equipment,Personnel,Maynard,Apr,2007,Critical,Open,2
Security,Personnel,Maynard,Apr,2007,Medium,Closed,11
Security,External,Maynard,Apr,2007,Near Miss,Closed,7
Divergence,Design,Maynard,Apr,2007,Critical,Open,7
Divergence,Management,Maynard,Apr,2007,Medium,Open,4
Complaint,Management,Maynard,Apr,2007,Major,Open,8
Complaint,Design,Maynard,Apr,2007,Critical,Open,5
Customer,Procedure,Acton,Apr,2007,Medium,Closed,4
Customer,Management,Acton,Apr,2007,Near Miss,Closed,8
Spill,Training,Acton,Apr,2007,Critical,Closed,9
Spill,Procedure,Acton,Apr,2007,Major,Closed,10
Injury,Training,Acton,Apr,2007,Near Miss,Open,9
Injury,Material,Acton,Apr,2007,Critical,Closed,10
Transport,Training,Acton,Apr,2007,Major,Closed,11
Transport,Design,Acton,Apr,2007,Medium,Closed,5
Equipment,External,Acton,Apr,2007,Major,Open,7
